Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Jordan,JOR,8622.15659777321
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Kazakhstan,KAZ,23586.0564564767
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Kenya,KEN,2753.02692616296
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Kiribati,KIR,1842.39618232903
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Korea, Dem. People’s Rep.",PRK,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Korea, Rep.",KOR,33425.6895931418
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Kosovo,XKX,8644.86530770263
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Kuwait,KWT,70831.8277598363
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Kyrgyz Republic,KGZ,3181.64216292265
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Lao PDR,LAO,5133.30132248528
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Latvia,LVA,22265.4600527624
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Lebanon,LBN,13491.6853623498
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Lesotho,LSO,2664.27543214678
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Liberia,LBR,804.719886747093
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Libya,LBY,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Liechtenstein,LIE,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Lithuania,LTU,26251.3740114305
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Luxembourg,LUX,93829.9679918413
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Macao SAR, China",MAC,130755.16577546
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Macedonia, FYR",MKD,12298.3829339517
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Madagascar,MDG,1372.02096103812
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Malawi,MWI,1090.3672076732
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Malaysia,MYS,24195.9045343839
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Maldives,MDV,11899.3344795375
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mali,MLI,1865.16062183071
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Malta,MLT,32340.9345360379
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Marshall Islands,MHL,3656.55233556323
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mauritania,MRT,3655.38850918163
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mauritius,MUS,18255.8697234297
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mexico,MEX,16459.0571877063
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Micronesia, Fed. Sts.",FSM,3178.27846690886
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Moldova,MDA,4762.7808726743
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Monaco,MCO,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mongolia,MNG,11348.6472864727
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Montenegro,MNE,14796.5575171959
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Morocco,MAR,7070.71909841681
